,<built-in function id>,areageo,identi,imageLink,title,year
600,http://cartotecadigital.icc.cat/cdm/ref/collection/fsace/id/619,Molins de Rei (Baix Llobregat),RFSACE.7252,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=fsace&CISOPTR=619&action=2&DMSCALE=39&DMWIDTH=1498&DMHEIGHT=1513,L. Bandera,1965-10-12
601,http://cartotecadigital.icc.cat/cdm/ref/collection/fsace/id/620,Barberà del Vallès (Vallès Occidental),RFSACE.4615,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=fsace&CISOPTR=620&action=2&DMSCALE=50&DMWIDTH=1190&DMHEIGHT=948,Fàbrica Ondina,1964-03-31
602,http://cartotecadigital.icc.cat/cdm/ref/collection/fsace/id/621,Terrassa (Vallès Occidental),RFSACE.3240,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=fsace&CISOPTR=621&action=2&DMSCALE=39&DMWIDTH=1506&DMHEIGHT=1506,Panoràmica,1963-06-01
603,http://cartotecadigital.icc.cat/cdm/ref/collection/fsace/id/622,Mollet del Vallès (Vallès Oriental),RFSACE.5891,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=fsace&CISOPTR=622&action=2&DMSCALE=39&DMWIDTH=1498&DMHEIGHT=1513,Fibres Texturades,1964-11-15
604,http://cartotecadigital.icc.cat/cdm/ref/collection/fsace/id/623,Pineda de Mar (Maresme),RFSACE.7168,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=fsace&CISOPTR=623&action=2&DMSCALE=39&DMWIDTH=1498&DMHEIGHT=1513,Pineda-Malgrat: Fotoplà -B,1965-10-01
605,http://cartotecadigital.icc.cat/cdm/ref/collection/fsace/id/624,Sant Pol de Mar (Maresme),RFSACE.5323,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=fsace&CISOPTR=624&action=2&DMSCALE=39&DMWIDTH=1498&DMHEIGHT=1513,Panoràmica,1964-09-05
606,http://cartotecadigital.icc.cat/cdm/ref/collection/fsace/id/625,Martorell (Baix Llobregat),RFSACE.6050,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=fsace&CISOPTR=625&action=2&DMSCALE=39&DMWIDTH=1498&DMHEIGHT=1513,Fotoplà Glucosa y Derivados,1965-01-03
607,http://cartotecadigital.icc.cat/cdm/ref/collection/fsace/id/626,Castelldefels (Baix Llobregat),RFSACE.5869,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=fsace&CISOPTR=626&action=2&DMSCALE=39&DMWIDTH=1498&DMHEIGHT=1513,Panoràmica 360ª viratge fins a,1964-11-15
608,http://cartotecadigital.icc.cat/cdm/ref/collection/fsace/id/627,Barcelona (Barcelonès),RFSACE.2514,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=fsace&CISOPTR=627&action=2&DMSCALE=39&DMWIDTH=1506&DMHEIGHT=1506,Polígon Besos  (I.M.V.),1963-02-23
609,http://cartotecadigital.icc.cat/cdm/ref/collection/fsace/id/628,el Vendrell (Baix Penedès),RFSACE.3092,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=fsace&CISOPTR=628&action=2&DMSCALE=39&DMWIDTH=1506&DMHEIGHT=1498,Finca,1963-05-15
610,http://cartotecadigital.icc.cat/cdm/ref/collection/fsace/id/629,Castelldefels (Baix Llobregat),RFSACE.211,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=fsace&CISOPTR=629&action=2&DMSCALE=39&DMWIDTH=1506&DMHEIGHT=1506,"Castelldefels, Panoràmica",1961-01-08
611,http://cartotecadigital.icc.cat/cdm/ref/collection/fsace/id/630,la Bisbal del Penedès (Baix Penedès),RFSACE.6669,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=fsace&CISOPTR=630&action=2&DMSCALE=39&DMWIDTH=1331&DMHEIGHT=1513,Vertical,1965-06-13
612,http://cartotecadigital.icc.cat/cdm/ref/collection/fsace/id/631,Aiguafreda (Vallès Oriental),RFSACE.7029,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=fsace&CISOPTR=631&action=2&DMSCALE=39&DMWIDTH=1498&DMHEIGHT=1513,Vertical,1965-09-07
