,<built-in function id>,imageLink,title,year
47,http://cartotecadigital.icc.cat/cdm/ref/collection/atles/id/1442,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=atles&CISOPTR=1442&action=2&DMSCALE=15&DMWIDTH=3316&DMHEIGHT=2167,"[Peu] Mapa del Rosselló y Cerdanya, fet a mitjans del segle XVII / Facilitat per lo Sr. Moliné y Brasés",1908
48,http://cartotecadigital.icc.cat/cdm/ref/collection/atles/id/1136,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=atles&CISOPTR=1136&action=2&DMSCALE=15&DMWIDTH=3271&DMHEIGHT=2197,"[Peu] Mapa del territori de Barcelona, fet a Paris en 1670 per lo Chevalier de Beaulieu",1668
49,http://cartotecadigital.icc.cat/cdm/ref/collection/atles/id/1171,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=atles&CISOPTR=1171&action=2&DMSCALE=11&DMWIDTH=3278&DMHEIGHT=4360,"[Peu] Mapa-Mundi fet en 970 per lo Beat de Lièbana: la mar volta la terra, que es plana",970
50,http://cartotecadigital.icc.cat/cdm/ref/collection/atles/id/1131,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=atles&CISOPTR=1131&action=2&DMSCALE=11&DMWIDTH=4387&DMHEIGHT=3288,[Peu] Operacions del seti de Barcelona de 1706: l'atach de la part de Montjuich (Edició alemana),1706
51,http://cartotecadigital.icc.cat/cdm/ref/collection/atles/id/1148,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=atles&CISOPTR=1148&action=2&DMSCALE=15&DMWIDTH=3266&DMHEIGHT=2158,"[Peu] Plan de Barcelona y tot lo séu Territori, al ésser, la Ciutat, sitiada per l'exèrcit françés en 1698. Publicat a Paris y dedicat al Rey de França",1908
52,http://cartotecadigital.icc.cat/cdm/ref/collection/atles/id/1312,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=atles&CISOPTR=1312&action=2&DMSCALE=15&DMWIDTH=3289&DMHEIGHT=2023,[Peu] Plan de la ciutat y castell de Tortosa assetjada per lo Marischal de Schomberg en Juliol de 1648. Gravada per Beaulieu a París,1648
53,http://cartotecadigital.icc.cat/cdm/ref/collection/atles/id/1156,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=atles&CISOPTR=1156&action=2&DMSCALE=11&DMWIDTH=4381&DMHEIGHT=3276,[Peu] Plan de les afores de Barcelona durant lo setge de 1652,1908
54,http://cartotecadigital.icc.cat/cdm/ref/collection/atles/id/1326,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=atles&CISOPTR=1326&action=2&DMSCALE=15&DMWIDTH=3279&DMHEIGHT=2206,"[Peu] Plan de Tortosa y ses fortificacions, trassat en 1813 per Ambrosi Lanzaco",1813
55,http://cartotecadigital.icc.cat/cdm/ref/collection/atles/id/1144,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=atles&CISOPTR=1144&action=2&DMSCALE=11&DMWIDTH=4412&DMHEIGHT=3283,"[Peu] Plan oficial de la Ciutat Nova, fet en 1858 per N'Anfós Cerdà (Quart full)",1858
56,http://cartotecadigital.icc.cat/cdm/ref/collection/atles/id/1146,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=atles&CISOPTR=1146&action=2&DMSCALE=11&DMWIDTH=4413&DMHEIGHT=3282,"[Peu] Plan oficial de la Ciutat Nova, fet en 1858 per N'Anfós Cerdà (Segón full)",1858
57,http://cartotecadigital.icc.cat/cdm/ref/collection/atles/id/1152,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=atles&CISOPTR=1152&action=2&DMSCALE=11&DMWIDTH=4409&DMHEIGHT=3266,"[Peu] Plan oficial de la Ciutat Nova, fet en 1858 per N'Anfós Cerdà (Tercer full)",1858
58,http://cartotecadigital.icc.cat/cdm/ref/collection/atles/id/1142,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=atles&CISOPTR=1142&action=2&DMSCALE=11&DMWIDTH=4396&DMHEIGHT=3255,"[Peu] Plan oficial de la Ciutat Nova, fet en 1858 per N'Anfós Cerdà, per ordre del Govern (Primer full)",1858
59,http://cartotecadigital.icc.cat/cdm/ref/collection/atles/id/1190,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=atles&CISOPTR=1190&action=2&DMSCALE=11&DMWIDTH=3294&DMHEIGHT=4382,[Peu] Proceheix del monestir de Sahagún. Guardat en la Biblioteca Universitaria de Valladolid,970
60,http://cartotecadigital.icc.cat/cdm/ref/collection/atles/id/1435,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=atles&CISOPTR=1435&action=2&DMSCALE=15&DMWIDTH=3318&DMHEIGHT=2134,"[Peu] Progecte de rectificació del curs del ríu Ter, desde Colomers al mar, fet per ordre del Concell Superior de Castella en l'any 1790 / Facilitat per l'Excm. Sr. President de la Audiencia de Barcelona Sr. Muñoz",1790
61,http://cartotecadigital.icc.cat/cdm/ref/collection/atles/id/1452,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=atles&CISOPTR=1452&action=2&DMSCALE=15&DMWIDTH=2172&DMHEIGHT=3306,[Peu] Puigcerdà: plan de la fortalesa en los segles XVII y XVIII / Facilitat per L. Soler y March,1908
62,http://cartotecadigital.icc.cat/cdm/ref/collection/atles/id/1214,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=atles&CISOPTR=1214&action=2&DMSCALE=11&DMWIDTH=3289&DMHEIGHT=4412,[Peu] Reproducció del interessant mapa numismàtich de la Espanya Citerior d'En Zobel de Zangroniz,1880
